id,barcode,desc,remarks,asset_type,cat_type,locname,dept,image,image_url,datetime_saved
57,,"MAKITA GRINDER M0910 50-60Hz","NO BARCODE
POWERHOUSE AREA",TOOLS,GRINDER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787628068678.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787628068678.jpg,"2026-08-25 11:20:15 AM"
58,,"FLUKE CLAMP METER 376 TRUE RMS","NO BARCODE
POWERHOUSE AREA",TOOLS,"CLAMP METER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787628152732.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787628152732.jpg,"2026-08-25 11:21:32 AM"
59,,"KENWOOD RADIO TRANSCEIVER TK-7108H","DAMAGED
NO BARCODE
POWERHOUSE AREA","OFF. EQPT.","RADIO BASE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787628255663.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787628255663.jpg,"2026-08-25 11:23:04 AM"
60,MFI-DBF-00108032,"MAKITA BLOWER M:UB1100","DAMAGED
OLD BARCODE
POWERHOUSE AREA",TOOLS,BLOWER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787628350941.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787628350941.jpg,"2026-08-25 11:24:39 AM"
61,,"EAGLE WELDING MACHINE","DAMAGED
NO BARCODE
POWERHOUSE AREA","MACH. & EQPT.",OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787628452527.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787628452527.jpg,"2026-08-25 11:26:11 AM"
62,,"STANLEY TOOL BOX RATCHET SET","NO BARCODE
POWERHOUSE AREA",TOOLS,TOOLS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787628548842.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787628548842.jpg,"2026-08-25 11:27:57 AM"
63,MFI-DBL-00111483,"FUSION HEATING MACHINE 230V","OLD BARCODE
POWER HOUSE AREA","MACH. & EQPT.",OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787628709582.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787628709582.jpg,"2026-08-25 11:30:28 AM"
64,MFI-DBL-000?,"IWATA TIME RECORDER","UNREADABLE BARCODE
DAMAGED
POWERHOUSE AREA","OFF. EQPT.",TIMERECORDER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787628822931.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787628822931.jpg,"2026-08-25 11:31:57 AM"
65,,"EAGLE PIPE WRENCH 36""","2 UNITS
NO BARCODE
POWERHOUSE AREA",TOOLS,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787628955019.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787628955019.jpg,"2026-08-25 11:34:28 AM"
66,,"EAGLE PIPE WRENCH 24""","NO BARCODE
POWERHOUSE AREA",TOOLS,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787628993939.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787628993939.jpg,"2026-08-25 11:35:57 AM"
67,,"EAGLE PIPE WRENCH 12""","NO BARCODE
POWERHOUSE AREA",TOOLS,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787629033312.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787629033312.jpg,"2026-08-25 11:36:38 AM"
68,,"DOUBLE DECK","STEEL
NO BARCODE
POWERHOUSE AREA","FUR. & FIXT.",BED,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787629350102.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787629350102.jpg,"2026-08-25 11:41:38 AM"
69,,"HYDRAULIC TEMPER HOSE","NO BARCODE
POWERHOUSE AREA",TOOLS,OTHERS,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787629465372.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787629465372.jpg,"2026-08-25 11:43:34 AM"
70,MFI-DBL-00114061,"WULI POWER SPRAYER 2HP S#:2020-0410","DAMAGED 
OLD BARCODE
POWERHOUSE AREA","MACH. & EQPT.","POWER SPRAYER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787634953046.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787634953046.jpg,"2026-08-25 01:14:27 PM"
71,,"WULI POWER SPRAYER 2HP","4 UNITS
DAMAGED
NO BARCODE
POWERHOUSE AREA","MACH. & EQPT.","POWER SPRAYER","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787635064191.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787635064191.jpg,"2026-08-25 01:16:55 PM"
72,,"SUBMERSIBLE PUMP STREAM","NO BARCODE
POWERHOUSE AREA","ELEC. INTS. & EQPT.",PUMP,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787635763960.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787635763960.jpg,"2026-08-25 01:27:40 PM"
73,,"STEEL DOUBLE DECK","4 UNITS
NO BARCODE
POWERHOUSE AREA","FUR. & FIXT.",BED,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787635840043.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787635840043.jpg,"2026-08-25 01:29:47 PM"
74,,"WOODEN CABINET 8DOORS","NO BARCODE
POWERHOUSE AREA","FUR. & FIXT.",CABINET-WOODEN,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787635907571.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787635907571.jpg,"2026-08-25 01:30:53 PM"
75,,"WASSERNISON HEATER WSP4500C","NO BARCODE
POWERHOUSE AREA","MACH. & EQPT.",HEATER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787636117553.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787636117553.jpg,"2026-08-25 01:33:55 PM"
76,,"POWERHOUSE BUILDING","NO BARCODE
POWERHOUSE AREA",BLDG.,BUILDING,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787636346055.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787636346055.jpg,"2026-08-25 01:38:12 PM"
77,,"NUTEX WEIGHING SCALE 1KG CAPACITY","DAMAGED
NO BARCODE
CONTAINER VAN AREA",TOOLS,"WEIGHING SCALE","MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787647250736.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787647250736.jpg,"2026-08-25 04:39:25 PM"
78,MFI-DBL-00110081,"AEG SHOWER HEATER M:BS35E","DAMAGED
OLD BARCODE
CONTAINER VAN AREA","OTHER EQPT.",HEATER,"MFI-BREEDER LAPSAON DIMIAO","BLD-LAPSAON ADMIN",IMG_1787647387161.jpg,http://172.16.161.247/fad_count/nfitems_images/IMG_1787647387161.jpg,"2026-08-25 04:41:52 PM"
